time,seconds_elapsed,z,y,x
1770950686210196500,0.141196533203125,-39.22500228881836,-10.18125057220459,-7.068750381469727
1770950686220196600,0.151196533203125,-38.45625305175781,-9.881250381469727,-7.031250476837158
1770950686230196500,0.161196533203125,-38.66250228881836,-10.162500381469727,-7.406250476837158
1770950686270196500,0.201196533203125,-38.10000228881836,-9.975000381469727,-8.137500762939453
1770950686280196600,0.211196533203125,-37.95000076293945,-9.9375,-8.34375
1770950686290196500,0.221196533203125,-37.53750228881836,-10.106250762939453,-8.831250190734863
1770950686300196600,0.231196533203125,-37.48125076293945,-10.18125057220459,-9.65625
1770950686310196500,0.241196533203125,-37.10625076293945,-10.200000762939453,-10.65000057220459
1770950686320196600,0.251196533203125,-36.618751525878906,-10.55625057220459,-12.356250762939453
1770950686330196500,0.261196533203125,-36.712501525878906,-10.893750190734863,-13.55625057220459
1770950686340196600,0.271196533203125,-36.54375076293945,-11.193750381469727,-14.606250762939453
1770950686350196500,0.281196533203125,-36.48750305175781,-11.550000190734863,-15.468750953674316
1770950686360196600,0.291196533203125,-36.431251525878906,-12,-16.575000762939453
1770950686370196500,0.301196533203125,-36.431251525878906,-12.168750762939453,-17.212501525878906
1770950686380196600,0.311196533203125,-36.375,-12.412500381469727,-17.53125
1770950686390196500,0.321196533203125,-36.712501525878906,-12.52500057220459,-17.4375
1770950686400196600,0.331196533203125,-37.181251525878906,-12.412500381469727,-16.181251525878906
1770950686410196500,0.341196533203125,-37.20000076293945,-11.850000381469727,-14.737500190734863
1770950686420196600,0.351196533203125,-37.33125305175781,-11.86875057220459,-13.856250762939453
1770950686430196500,0.361196533203125,-37.53750228881836,-11.850000381469727,-13.46250057220459
1770950686440196600,0.371196533203125,-37.743751525878906,-11.53125,-12.52500057220459
1770950686450196500,0.381196533203125,-38.04375076293945,-11.475000381469727,-11.850000381469727
1770950686460196600,0.391196533203125,-38.38125228881836,-11.34375,-10.631250381469727
1770950686470196500,0.401196533203125,-38.51250076293945,-11.475000381469727,-9.825000762939453
1770950686480196600,0.411196533203125,-38.83125305175781,-11.418750762939453,-9.225000381469727
1770950686490196500,0.421196533203125,-39.056251525878906,-11.606250762939453,-8.831250190734863
1770950686500196600,0.431196533203125,-39.806251525878906,-11.34375,-7.912500381469727
1770950686510196500,0.441196533203125,-40.181251525878906,-11.043750762939453,-6.731250286102295
1770950686520196600,0.451196533203125,-40.57500076293945,-10.96875,-5.681250095367432
